OCC_CODE,AREA,AREA_TITLE,AREA_TYPE,PRIM_STATE,NAICS,NAICS_TITLE,I_GROUP,OWN_CODE
00-0000,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
11-0000,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
11-1000,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
11-1010,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
11-1011,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
11-1020,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
11-1021,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
11-1030,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
11-1031,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
11-2000,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
11-2010,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
11-2011,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
11-2020,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
11-2021,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
11-2022,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
11-2030,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
11-2032,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
11-2033,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
11-3000,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
11-3010,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
11-3012,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
11-3013,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
11-3020,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
11-3021,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
11-3030,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
11-3031,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
11-3050,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
11-3051,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
11-3060,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
11-3061,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
11-3070,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
11-3071,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
11-3110,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
11-3111,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
11-3120,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
11-3121,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
11-3130,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
11-3131,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
11-9000,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
11-9010,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
11-9013,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
11-9020,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
11-9021,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
11-9030,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
11-9031,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
11-9032,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
11-9033,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
11-9039,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
11-9040,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
11-9041,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
11-9050,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
11-9051,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
11-9070,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
11-9071,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
11-9072,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
11-9080,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
11-9081,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
11-9110,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
