OCC_CODE,OCC_TITLE,O_GROUP,TOT_EMP,EMP_PRSE,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90
00-0000,All Occupations,total,151853870,0.0,31.48,65470,0.3,13.97,17.14,23.11,37.01,58.4,29050,35660,48060,76980,121470
11-0000,Management Occupations,major,10495770,0.4,66.23,137750,0.5,26.23,37.66,56.19,81.29,111.36,54550,78330,116880,169090,231620
11-1000,Top Executives,minor,3751510,0.4,65.43,136100,0.9,22.31,31.81,49.74,79.57,#,46400,66170,103460,165500,#
11-1010,Chief Executives,broad,211230,1.4,124.47,258900,0.7,38.46,62.9,99.37,#,#,80000,130840,206680,#,#
11-1011,Chief Executives,detailed,211230,1.4,124.47,258900,0.7,38.46,62.9,99.37,#,#,80000,130840,206680,#,#
11-1020,General and Operations Managers,broad,3507810,0.4,62.18,129330,0.9,22.28,31.34,48.69,77.06,111.59,46340,65180,101280,160290,232110
11-1021,General and Operations Managers,detailed,3507810,0.4,62.18,129330,0.9,22.28,31.34,48.69,77.06,111.59,46340,65180,101280,160290,232110
11-1030,Legislators,broad,32460,1.7,*,68140,1.3,*,*,*,*,*,21010,28810,47290,82200,129510
11-1031,Legislators,detailed,32460,1.7,*,68140,1.3,*,*,*,*,*,21010,28810,47290,82200,129510
11-2000,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",minor,1070030,1.5,76.9,159960,0.3,33.26,47.68,67.23,96.15,#,69170,99180,139850,199990,#
11-2010,Advertising and Promotions Managers,broad,20630,2.9,73.38,152620,2.7,30.57,42.7,63.4,90.64,#,63580,88810,131870,188530,#
11-2011,Advertising and Promotions Managers,detailed,20630,2.9,73.38,152620,2.7,30.57,42.7,63.4,90.64,#,63580,88810,131870,188530,#
11-2020,Marketing and Sales Managers,broad,944820,1.5,77.43,161040,0.3,33.01,47.97,68.17,97.11,#,68660,99780,141780,201990,#
11-2021,Marketing Managers,detailed,368940,1.8,80,166410,0.3,38.27,51.92,75.78,100,#,79600,108000,157620,208000,#
11-2022,Sales Managers,detailed,575880,1.3,75.77,157610,0.3,30.62,44.97,64.98,94.57,#,63700,93540,135160,196700,#
11-2030,Public Relations and Fundraising Managers,broad,104570,2.7,72.87,151570,0.9,35.59,46.24,62.73,85.66,#,74030,96180,130480,178180,#
11-2032,Public Relations Managers,detailed,72760,3.2,76.65,159420,1.0,36.61,47.69,64.79,92.23,#,76160,99180,134760,191840,#
11-2033,Fundraising Managers,detailed,31810,1.9,64.24,133620,0.9,33.08,41.77,57.31,78.2,102.27,68800,86880,119200,162660,212730
11-3000,Operations Specialties Managers,minor,2513900,0.6,74.59,155150,0.3,36.69,48.41,65.47,88.22,#,76320,100690,136170,183500,#
11-3010,Administrative Services and Facilities Managers,broad,373920,1.2,56.56,117650,0.3,29.74,38.54,50.44,66.45,86.41,61860,80170,104900,138220,179730
11-3012,Administrative Services Managers,detailed,242520,1.3,58.27,121200,0.4,30.04,39.15,51.19,67.73,90.78,62470,81420,106470,140870,188820
11-3013,Facilities Managers,detailed,131400,1.2,53.42,111110,0.4,29.25,37.56,49.2,64.42,81.26,60840,78130,102340,133990,169020
11-3020,Computer and Information Systems Managers,broad,592600,0.5,86.88,180720,0.3,48.84,63.35,81.5,102.91,#,101590,131770,169510,214050,#
11-3021,Computer and Information Systems Managers,detailed,592600,0.5,86.88,180720,0.3,48.84,63.35,81.5,102.91,#,101590,131770,169510,214050,#
11-3030,Financial Managers,broad,787340,1.0,84.05,174820,0.5,39.84,52.98,75.05,101.36,#,82870,110190,156100,210830,#
11-3031,Financial Managers,detailed,787340,1.0,84.05,174820,0.5,39.84,52.98,75.05,101.36,#,82870,110190,156100,210830,#
11-3050,Industrial Production Managers,broad,222890,0.7,60.53,125900,0.3,34.62,44.03,56.24,72.7,91.58,72010,91590,116970,151220,190480
11-3051,Industrial Production Managers,detailed,222890,0.7,60.53,125900,0.3,34.62,44.03,56.24,72.7,91.58,72010,91590,116970,151220,190480
11-3060,Purchasing Managers,broad,77530,1.2,70.53,146710,0.4,40.15,50.62,65.57,82.75,103.45,83510,105300,136380,172110,215170
11-3061,Purchasing Managers,detailed,77530,1.2,70.53,146710,0.4,40.15,50.62,65.57,82.75,103.45,83510,105300,136380,172110,215170
11-3070,"Transportation, Storage, and Distribution Managers",broad,198780,0.7,53.79,111870,0.3,28.27,36.6,47.69,63.99,84.39,58810,76120,99200,133090,175530
11-3071,"Transportation, Storage, and Distribution Managers",detailed,198780,0.7,53.79,111870,0.3,28.27,36.6,47.69,63.99,84.39,58810,76120,99200,133090,175530
11-3110,Compensation and Benefits Managers,broad,18690,2.6,72.57,150940,1.2,36.81,49.3,65.57,87.03,110.56,76550,102540,136380,181030,229970
11-3111,Compensation and Benefits Managers,detailed,18690,2.6,72.57,150940,1.2,36.81,49.3,65.57,87.03,110.56,76550,102540,136380,181030,229970
11-3120,Human Resources Managers,broad,200600,1.3,74.39,154740,0.4,38.97,49.68,65.55,87.56,#,81060,103340,136350,182120,#
11-3121,Human Resources Managers,detailed,200600,1.3,74.39,154740,0.4,38.97,49.68,65.55,87.56,#,81060,103340,136350,182120,#
11-3130,Training and Development Managers,broad,41540,2.4,66.56,138450,0.4,35.29,45.31,60.12,80.19,105.8,73410,94240,125040,166780,220060
11-3131,Training and Development Managers,detailed,41540,2.4,66.56,138450,0.4,35.29,45.31,60.12,80.19,105.8,73410,94240,125040,166780,220060
11-9000,Other Management Occupations,minor,3160340,0.8,56.91,118370,0.4,24.85,35.29,49.28,69.68,96.34,51690,73390,102510,144930,200390
11-9010,"Farmers, Ranchers, and Other Agricultural Managers",broad,6150,4.7,43.35,90160,1.4,22.98,30.54,40.27,52.45,65.58,47800,63510,83770,109090,136410
11-9013,"Farmers, Ranchers, and Other Agricultural Managers",detailed,6150,4.7,43.35,90160,1.4,22.98,30.54,40.27,52.45,65.58,47800,63510,83770,109090,136410
11-9020,Construction Managers,broad,329190,2.9,56.23,116960,0.5,31,39.25,50.43,65.17,82.71,64480,81640,104900,135550,172040
